요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,개설일자,좌표(X),좌표(Y)
대양약국,81,약국,230000,대구,230004,대구서구,평리동,41820,"대구광역시 서구 통학로 86-1, (평리동)",053-554-0345,1987-09-16,128.5636029,35.8680935
대연시장약국,81,약국,210000,부산,210001,부산남구,대연동,48497,"부산광역시 남구 수영로266번길 36, 1층 (대연동)",051-626-2356,2021-03-30,129.0971531,35.1347100
대연약국,81,약국,210000,부산,210001,부산남구,대연동,48445,"부산광역시 남구 수영로 239, (대연동)",051-624-7484,2013-07-12,129.0927843,35.1353715
대영남약국,81,약국,210000,부산,210004,부산진구,부전동,47251,"부산광역시 부산진구 중앙대로 769, 1층 (부전동)",051-807-4464,2021-07-14,129.0614219,35.1610796
대영당약국,81,약국,210000,부산,210007,부산영도구,영선동2가,49056,"부산광역시 영도구 남항로 48-1, (영선동2가)",051-415-6382,1998-12-08,129.0415221,35.0882681
대영약국,81,약국,210000,부산,210007,부산영도구,청학동,49016,"부산광역시 영도구 태종로 368, (청학동)",051-416-4744,2024-01-15,,
대영약국,81,약국,340000,충남,340600,서산시,동문동,31992,"충청남도 서산시 안견로 189, 1층 (동문동)",041-665-5434,1984-11-27,126.4596122,36.7816184
대영약국,81,약국,220000,인천,220001,인천미추홀구,용현동,22183,"인천광역시 미추홀구 인주대로132번길 6, (용현동)",032-881-9731,2019-03-05,126.6516625,37.4560868
대영약국,81,약국,310000,경기,312300,김포시,북변동,10101,"경기도 김포시 봉화로182번길 42, 105,106호 (북변동, 산호상가동)",031-983-1121,2015-05-20,126.7038459,37.6291712
대영약국,81,약국,310000,경기,311903,고양일산동구,장항동,10401,"경기도 고양시 일산동구 무궁화로 18, 104호 (장항동, 남정시티프라자)",031-905-7388,2011-02-24,126.7669288,37.6617138
대영약국,81,약국,310000,경기,311101,안산단원구,초지동,15453,"경기도 안산시 단원구 초지동로 7, 103호 (초지동, 한남스포랜드)",031-405-7574,2008-05-02,126.8162134,37.3043264
대영약국,81,약국,110000,서울,110009,마포구,성산동,03946,"서울특별시 마포구 모래내로7길 44, 1층 (성산동)",02-373-3553,1975-10-01,126.9106227,37.5674925
대영약국,81,약국,110000,서울,110008,동작구,상도동,06918,"서울특별시 동작구 만양로 26, 215호 (상도동, 건영아파트상가)",02-827-0965,1998-10-08,126.9499848,37.5077626
대영약국,81,약국,110000,서울,110021,서초구,잠원동,06515,"서울특별시 서초구 잠원로14길 29, 125호 (잠원동, 설악복지센타)",02-591-9888,2013-07-23,127.0154662,37.5178576
대영약국,81,약국,110000,서울,110012,성북구,종암동,02797,"서울특별시 성북구 월곡로5길 66, (종암동)",02-912-6432,1995-03-17,127.0362381,37.5991903
대영약국,81,약국,110000,서울,110006,도봉구,쌍문동,01432,"서울특별시 도봉구 도봉로129길 26, (쌍문동)",02-904-0403,1988-11-02,127.0369493,37.6555308
대영약국,81,약국,310000,경기,310800,의정부시,의정부동,11695,"경기도 의정부시 시민로131번길 64, (의정부동)",031-845-5569,2017-03-13,127.0498369,37.7410284
대영약국,81,약국,250000,대전,250004,대전동구,가양동,34534,"대전광역시 동구 동대전로 288, (가양동)",042-621-5989,2011-06-17,127.4453010,36.3467069
대영약국,81,약국,330000,충북,330103,청주청원구,내덕동,28479,"충청북도 청주시 청원구 상당로 301-1, (내덕동)",043-256-0722,1979-06-28,127.4883283,36.6553093
대영약국,81,약국,360000,전남,360500,여수시,미평동,59624,"전라남도 여수시 만성로 63, (미평동)",061-652-4985,1990-06-19,127.7027360,34.7704479
대영약국,81,약국,320000,강원,320400,원주시,단구동,26488,"강원특별자치도 원주시 단구로 398, 가온프라자 1층 102호 (단구동)",033-763-5894,2004-01-05,127.9553045,37.3214515
대영약국,81,약국,230000,대구,230003,대구북구,고성동2가,41594,"대구광역시 북구 칠성남로 49-9, (고성동2가)",053-357-2268,1977-02-15,128.5859077,35.8798759
대영약국,81,약국,230000,대구,230005,대구수성구,범어동,42028,"대구광역시 수성구 달구벌대로 2435, 301동 1층 309-2호 (범어동, 두산위브더제니스)",,2023-01-13,128.6289865,35.8603108
대영약국,81,약국,380000,경남,380705,창원성산구,대방동,51468,"경상남도 창원시 성산구 대암로 272, (대방동)",264-2884,2009-03-05,128.7091413,35.2044920
대영약국,81,약국,380000,경남,381100,양산시,북부동,50619,"경상남도 양산시 북안남6길 13, (북부동, 대영약국)",055-385-1856,2000-08-21,129.0372696,35.3461786
대영약국,81,약국,210000,부산,210001,부산남구,대연동,48510,"부산광역시 남구 황령대로492번길 8, 영보빌딩 103호 (대연동)",051-622-5777,2024-01-12,129.1071265,35.1380366
대영약국,81,약국,210000,부산,210014,부산수영구,수영동,48228,"부산광역시 수영구 연수로 423, (수영동)",051-756-5040,2009-02-24,129.1151217,35.1678505
대영약국,81,약국,210000,부산,210100,부산기장군,기장읍,46066,"부산광역시 기장군 기장읍 차성동로 63, (기장읍)",051-723-1235,2017-10-20,129.2162786,35.2434227
대영약국,81,약국,260000,울산,260004,울산북구,염포동,44260,"울산광역시 북구 염포로 631, (염포동)",052-289-4272,2013-04-18,129.3891799,35.5358131
대영온누리약국,81,약국,340000,충남,340400,보령시,동대동,33471,"충청남도 보령시 주공로 12, (동대동)",936-1161,2012-04-02,126.6022143,36.3450784
대영온누리약국,81,약국,250000,대전,250003,대전서구,도마동,35337,"대전광역시 서구 배재로 156, (도마동)",042-522-8096,1997-10-09,127.3704418,36.3222993
대영온누리약국,81,약국,380000,경남,380500,진주시,칠암동,52724,"경상남도 진주시 진주대로 918, (칠암동)",055-762-7339,2001-09-10,128.0897007,35.1822299
대영진약국,81,약국,110000,서울,110019,중랑구,망우동,02182,"서울특별시 중랑구 용마공원로 16, (망우동)",02-434-5172,1996-04-17,127.1010768,37.5942151
대왕약국,81,약국,310000,경기,310603,수원팔달구,매교동,16465,"경기도 수원시 팔달구 정조로 717, (매교동)",031-232-0427,1989-09-07,127.0163405,37.2720604
대왕약국,81,약국,230000,대구,230005,대구수성구,수성동3가,42115,"대구광역시 수성구 들안로64길 23, (수성동3가)",053-755-3354,1982-11-30,128.6190080,35.8588083
대왕약국,81,약국,260000,울산,260001,울산남구,옥동,44664,"울산광역시 남구 문수로 390, (옥동)",052-227-3955,1999-09-04,129.2960487,35.5338508
대우당약국,81,약국,110000,서울,110025,금천구,시흥동,08643,"서울특별시 금천구 은행나무로 34, (시흥동)",02-808-8960,1988-06-13,126.9061509,37.4506961
대우당약국,81,약국,110000,서울,110008,동작구,상도동,07041,"서울특별시 동작구 상도로 102, (상도동)",02-822-2682,2002-04-03,126.9317763,37.4999427
대우당약국,81,약국,340000,충남,340300,공주시,산성동,32540,"충청남도 공주시 웅진로 197, 1층 (산성동)",041-855-3335,1984-11-21,127.1246424,36.4580615
대우당약국,81,약국,250000,대전,250005,대전중구,은행동,34832,"대전광역시 중구 중앙로 173, (은행동)",042-255-8001,2012-11-12,127.4284300,36.3298402
대우당약국,81,약국,330000,충북,330102,청주흥덕구,봉명동,28450,"충청북도 청주시 흥덕구 1순환로 508, (봉명동)",043-235-2359,1982-07-22,127.4650368,36.6472379
대우당약국,81,약국,340000,충남,340002,금산군,추부면,32714,"충청남도 금산군 추부면 마전로 41, (추부면)",041-754-9110,2007-07-23,127.4677888,36.1902973
대우당약국,81,약국,230000,대구,230007,대구달서구,신당동,42609,"대구광역시 달서구 성서서로 341, (신당동)",053-582-3238,2007-12-03,128.4995828,35.8557031
대우당약국,81,약국,380000,경남,380702,창원마산합포구,중앙동3가,51732,"경상남도 창원시 마산합포구 3·15대로 240, (중앙동3가)",055-242-9900,2006-10-04,128.5675274,35.1995779
대우당약국,81,약국,370000,경북,371000,경산시,하양읍,38435,"경상북도 경산시 하양읍 하양로 130-1, (하양읍)",053-856-6446,2001-12-17,128.8212750,35.9148785
대우마이빌약국,81,약국,110000,서울,110020,양천구,목동,07946,"서울특별시 양천구 공항대로 552, 1층 (목동, 대우마이빌빌딩)",02-2651-8976,2003-04-17,126.8669562,37.5495586
대우메디슨약국,81,약국,230000,대구,230005,대구수성구,두산동,42175,"대구광역시 수성구 상화로 138, (두산동)",053-767-4642,2007-05-22,128.6220424,35.8352366
대우사약국,81,약국,110000,서울,110017,중구,남대문로5가,04527,"서울특별시 중구 세종대로 22, (남대문로5가)",02-776-6996,2009-02-16,126.9743018,37.5585427
대우실로암약국,81,약국,110000,서울,110020,양천구,신월동,07903,"서울특별시 양천구 월정로50길 10, (신월동)",02-2602-6489,2003-06-19,126.8310651,37.5416740
대우약국,81,약국,210000,부산,210009,부산해운대구,반여동,48032,"부산광역시 해운대구 선수촌로165번길 3, 대우약국 1층 (반여동)",051-523-0634,1978-04-11,,
대우약국,81,약국,220000,인천,220003,인천부평구,갈산동,21329,"인천광역시 부평구 평천로 306, (갈산동)",032-519-9703,2002-02-21,126.7244344,37.5171232
대우약국,81,약국,110000,서울,110005,구로구,천왕동,08365,"서울특별시 구로구 천왕로 106, 골드프라자 1층 104호 (천왕동)",02-2684-9752,2024-02-26,126.8385603,37.4860388
대우약국,81,약국,310000,경기,311700,시흥시,논곡동,14984,"경기도 시흥시 수인로2421번길 109, (논곡동)",031-405-6169,1999-04-07,126.8605022,37.3873490
대우약국,81,약국,110000,서울,110015,은평구,대조동,03396,"서울특별시 은평구 통일로 749, 1층 (대조동)",02-387-8626,2017-07-03,126.9281847,37.6119547
대우약국,81,약국,110000,서울,110010,서대문구,홍제동,03628,"서울특별시 서대문구 통일로40안길 3-1, (홍제동)",02-379-5836,1981-02-21,126.9435067,37.5904300
대우약국,81,약국,310000,경기,311600,의왕시,삼동,16090,"경기도 의왕시 부곡중앙로 36-3, (삼동)",461-7871,1989-07-08,126.9531263,37.3208806
대우약국,81,약국,110000,서울,110024,강북구,수유동,01082,"서울특별시 강북구 삼양로 348, (수유동)",02-904-2450,1992-05-08,127.0176404,37.6345827
대우약국,81,약국,340000,충남,340700,논산시,화지동,32967,"충청남도 논산시 중앙로492번길 19, (화지동)",041-735-3952,1987-04-15,127.0849832,36.2072631
대우약국,81,약국,250000,대전,250005,대전중구,선화동,34838,"대전광역시 중구 중앙로 125-1, (선화동)",042-256-1058,1976-07-02,127.4237836,36.3281102
대우약국,81,약국,230000,대구,230100,대구달성군,논공읍,42985,"대구광역시 달성군 논공읍 논공로 210, (논공읍)",053-616-0334,2010-05-03,128.4536443,35.7210029
대우약국,81,약국,380000,경남,380702,창원마산합포구,산호동,51329,"경상남도 창원시 마산합포구 삼호로 53, (산호동)",055-241-0020,1978-11-01,128.5848356,35.2220621
대우약국,81,약국,380000,경남,381000,거제시,장승포동,53320,"경상남도 거제시 장승포로1길 4, (장승포동)",055-681-2695,1982-12-14,128.7255521,34.8679852
대우약국,81,약국,210000,부산,210010,부산사하구,괴정동,49402,"부산광역시 사하구 낙동대로 279, (괴정동)",051-317-1479,2010-03-26,128.9863148,35.0989805
대우약국,81,약국,210000,부산,210011,부산금정구,장전동,46283,"부산광역시 금정구 금강로 338-1, (장전동)",051-514-1460,2016-02-15,129.0866087,35.2382234
대우온누리약국,81,약국,380000,경남,380500,진주시,상대동,52796,"경상남도 진주시 동진로 172, 세원빌딩 1층 102호 (상대동)",055-752-9927,2018-12-28,128.1099805,35.1794231
대운약국,81,약국,110000,서울,110013,영등포구,당산동3가,07257,"서울특별시 영등포구 당산로 142, 1층 (당산동3가)",,2024-04-02,126.8972192,37.5272156
대웅사약국,81,약국,210000,부산,210004,부산진구,당감동,47181,"부산광역시 부산진구 동평로 90, 1층 (당감동)",051-898-9477,2019-02-27,129.0394146,35.1653088
대웅약국,81,약국,360000,전남,360300,목포시,옥암동,58663,"전라남도 목포시 옥암로 106-1, (옥암동)",061-283-7001,1987-10-23,126.4261277,34.8086129
대웅약국,81,약국,310000,경기,312300,김포시,사우동,10109,"경기도 김포시 사우중로 17, (사우동)",031-998-9250,2003-04-14,126.7169240,37.6171315
대웅약국,81,약국,220000,인천,220006,인천남동구,만수동,21596,"인천광역시 남동구 장승남로 36, 1층 (만수동, 만수프라자)",461-1165,2013-01-02,126.7362018,37.4431662
대웅약국,81,약국,310000,경기,310702,안양동안구,관양동,13931,"경기도 안양시 동안구 관평로 330, 1층 (관양동, 광명빌딩)",031-384-8000,2001-07-27,126.9580558,37.4056313
대웅약국,81,약국,310000,경기,311600,의왕시,오전동,16053,"경기도 의왕시 모락로 16, 1층 108호 (오전동)",031-429-7582,2013-12-30,126.9670896,37.3594858
대웅약국,81,약국,110000,서울,110016,종로구,종로4가,03195,"서울특별시 종로구 종로 190, 1층 (종로4가)",,2025-01-21,126.9988031,37.5705876
대웅약국,81,약국,310000,경기,310602,수원장안구,송죽동,16298,"경기도 수원시 장안구 경수대로 998, (송죽동)",031-248-6700,2002-06-17,127.0025921,37.3059586
대웅약국,81,약국,110000,서울,110006,도봉구,쌍문동,01452,"서울특별시 도봉구 우이천로 298, (쌍문동)",990-2345,2000-10-31,127.0294495,37.6443655
대웅약국,81,약국,350000,전북,350401,전주완산구,태평동,54998,"전북특별자치도 전주시 완산구 공북로 22, (태평동)",063-251-0282,2009-03-16,127.1342505,35.8251846
대웅약국,81,약국,310000,경기,311300,하남시,신장동,12965,"경기도 하남시 신평로 44, (신장동)",031-794-7380,1991-10-07,127.2046083,37.5377165
대웅약국,81,약국,330000,충북,330104,청주서원구,,28792,"충청북도 청주시 서원구 월평로 69, (분평동)",043-295-3227,1998-02-04,127.4926857,36.6114100
대웅약국,81,약국,360000,전남,360700,광양시,중동,57795,"전라남도 광양시 공영로 66, 1층 (중동)",061-793-7575,2014-10-01,127.6962522,34.9357037
대웅약국,81,약국,360000,전남,360500,여수시,서교동,59752,"전라남도 여수시 중앙로 3, (서교동)",061-641-0678,1997-07-03,127.7282541,34.7406378
대웅약국,81,약국,320000,강원,320500,춘천시,조양동,24352,"강원특별자치도 춘천시 금강로 73, (조양동)",033-242-3143,2010-03-02,127.7294231,37.8789248
대웅약국,81,약국,330000,충북,330001,괴산군,연풍면,28013,"충청북도 괴산군 연풍면 향교로 25, (연풍면)",043-833-5885,1987-03-04,127.9962024,36.7646318
대웅약국,81,약국,370000,경북,370023,청송군,진보면,37409,"경상북도 청송군 진보면 진안로 23, (진보면)",054-874-2039,1999-09-18,129.0451564,36.5284120
대웅약국,81,약국,370000,경북,370100,경주시,성동동,38146,"경상북도 경주시 원화로 287, B동 1층 (성동동)",054-774-7442,2017-06-05,129.2170255,35.8463812
대웅약국,81,약국,260000,울산,260001,울산남구,옥동,44645,"울산광역시 남구 문수로 331, 1층 (옥동)",052-271-0402,1999-01-29,129.2898184,35.5354385
대원사약국,81,약국,110000,서울,110019,중랑구,중화동,02102,"서울특별시 중랑구 중랑역로 90, 대원메디컬빌딩 (중화동)",02-433-3400,2018-01-02,127.0780077,37.6014011
대원약국,81,약국,310000,경기,311902,고양일산서구,,10386,"경기도 고양시 일산서구 중앙로 1426, 105,106호 (주엽동, 일송노블레스)",031-911-8301,1999-03-08,126.7619659,37.6702816
대원약국,81,약국,110000,서울,110013,영등포구,문래동3가,07297,"서울특별시 영등포구 당산로 34, (문래동3가,4층)",02-2633-8703,2009-10-30,126.8964938,37.5174632
대원약국,81,약국,240000,광주,240002,광주북구,두암동,61161,"광주광역시 북구 갈마로 57, 1층 (두암동)",062-514-0616,2007-08-16,126.9368081,35.1620317
대원약국,81,약국,310000,경기,310702,안양동안구,평촌동,14070,"경기도 안양시 동안구 귀인로 253, 137-1호 (평촌동, 초원아파트대원상가)",031-385-0078,2003-05-26,126.9666118,37.3876853
대원약국,81,약국,110000,서울,110012,성북구,석관동,02784,"서울특별시 성북구 돌곶이로14길 51, (석관동)",966-0792,2014-12-02,127.0625464,37.6089175
대원약국,81,약국,310000,경기,311800,오산시,오산동,18136,"경기도 오산시 오산로 300, (오산동)",031-374-4443,2008-06-30,127.0688435,37.1537549
대원약국,81,약국,350000,전북,350008,완주군,고산면,55311,"전북특별자치도 완주군 고산면 읍내1길 5, (고산면)",063-261-6000,2020-12-31,127.2067498,35.9755050
대원약국,81,약국,360000,전남,360010,보성군,벌교읍,59425,"전라남도 보성군 벌교읍 채동선로 215, (벌교읍)",061-857-3127,2001-09-12,127.3433802,34.8423506
대원약국,81,약국,320000,강원,320400,원주시,태장동,26313,"강원특별자치도 원주시 태장둔치길 55, 1층 (태장동)",033-732-7080,2020-02-27,127.9535652,37.3839794
대원약국,81,약국,230000,대구,230005,대구수성구,신매동,42271,"대구광역시 수성구 달구벌대로 3229, (신매동)",053-794-0603,2000-08-02,128.7098678,35.8395191
대원약국,81,약국,230000,대구,230002,대구동구,서호동,41111,"대구광역시 동구 안심로49길 110, (서호동)",053-962-2975,1981-03-10,128.7108265,35.8707998
대원약국,81,약국,210000,부산,210011,부산금정구,남산동,46224,"부산광역시 금정구 중앙대로 2029, 1층 (남산동, 세중한의원)",051-516-3030,2016-01-26,129.0921721,35.2655728
대원약국,81,약국,260000,울산,260003,울산중구,우정동,44534,"울산광역시 중구 명륜로 34, 1층 (우정동)",052-245-8803,2013-04-01,129.3095290,35.5553334
대원약국,81,약국,370000,경북,370100,경주시,감포읍,38125,"경상북도 경주시 감포읍 감포로7길 2, (감포읍)",054-744-3085,2007-12-24,129.5023606,35.8044906
대원온누리약국,81,약국,390000,제주,390200,제주시,삼양이동,63322,"제주특별자치도 제주시 화삼북로 139, 1층 (삼양이동)",064-727-1190,1995-04-17,126.5879754,33.5172618
대유약국,81,약국,110000,서울,110010,서대문구,홍은동,03654,"서울특별시 서대문구 모래내로 359, (홍은동)",02-379-4415,1980-06-23,126.9358991,37.5818747
대유약국,81,약국,330000,충북,330104,청주서원구,모충동,28676,"충청북도 청주시 서원구 청남로 2147, (모충동)",043-298-7373,2012-05-21,127.4881577,36.6238083
대은약국,81,약국,220000,인천,220001,인천미추홀구,용현동,22208,"인천광역시 미추홀구 인하로119번길 13, (용현동)",032-864-4479,1993-07-29,126.6615694,37.4506601
대은약국,81,약국,310000,경기,310302,부천오정구,원종동,14419,"경기도 부천시 오정구 소사로808번길 6, (원종동, 부원빌딩)",032-681-0148,2001-02-24,126.8051444,37.5280185
대은약국,81,약국,340000,충남,340201,천안서북구,성정동,31109,"충청남도 천안시 서북구 동서대로 129, 101호 (성정동, 아이엠빌딩)",041-562-1134,2011-09-30,127.1378027,36.8262114
대은약국,81,약국,230000,대구,230007,대구달서구,상인동,42788,"대구광역시 달서구 월배로 170, (상인동)",053-637-0790,2007-01-31,128.5326050,35.8168340
대인당온누리약국,81,약국,110000,서울,110025,금천구,시흥동,08614,"서울특별시 금천구 시흥대로 237, (시흥동)",02-803-2111,2015-07-06,126.9001008,37.4550211
대인약국,81,약국,360000,전남,360300,목포시,연산동,58633,"전라남도 목포시 원산중앙로 96, (연산동)",061-278-4008,2017-02-07,126.3812968,34.8119173
대인약국,81,약국,260000,울산,260001,울산남구,신정동,44670,"울산광역시 남구 월평로 9, 1층 (신정동)",052-274-0020,2016-10-10,129.3066819,35.5408261
대일약국,81,약국,360000,전남,360012,신안군,지도읍,58813,"전라남도 신안군 지도읍 봉리길 9, (지도읍)",061-275-1365,1995-09-30,126.2107422,35.0599992
대일약국,81,약국,110000,서울,110008,동작구,사당동,07008,"서울특별시 동작구 동작대로27길 22, (사당동)",02-591-4655,1975-02-06,126.9806720,37.4877046
대일약국,81,약국,310000,경기,310800,의정부시,의정부동,11695,"경기도 의정부시 태평로 83, 1층 (의정부동)",031-844-2458,2013-05-01,127.0514078,37.7399380
대일약국,81,약국,110000,서울,110019,중랑구,상봉동,02091,"서울특별시 중랑구 상봉중앙로1길 32, 1층 (상봉동)",02-433-1712,2005-02-14,127.0876422,37.5986744
대일약국,81,약국,370000,경북,370200,구미시,형곡동,39295,"경상북도 구미시 새마을로 3, (형곡동)",054-461-5362,1994-12-05,128.3398767,36.1122576
대일약국,81,약국,230000,대구,230003,대구북구,고성동2가,41596,"대구광역시 북구 고성로 152, (고성동2가)",053-354-7080,1979-03-24,128.5823386,35.8809508
대자연약국,81,약국,350000,전북,350401,전주완산구,효자동2가,55062,"전북특별자치도 전주시 완산구 호암로 85, (효자동2가)",063-227-5508,2010-11-30,127.1038576,35.8085454
대자연약국,81,약국,110000,서울,110002,강동구,천호동,05320,"서울특별시 강동구 구천면로 291, (천호동)",02-474-7576,2003-01-17,127.1335689,37.5459536
대자연약국,81,약국,330000,충북,330102,청주흥덕구,가경동,28399,"충청북도 청주시 흥덕구 풍산로48번길 6, 103호 (가경동, 가경프라자)",043-237-3606,2015-05-26,127.4355662,36.6268402
대자연약국,81,약국,230000,대구,230005,대구수성구,파동,42232,"대구광역시 수성구 파동로 120, (파동)",053-765-3560,1984-03-31,128.6168778,35.8150137
대자연약국,81,약국,380000,경남,381100,양산시,하북면,50503,"경상남도 양산시 하북면 신평로 56, (하북면)",055-384-8492,2011-09-19,129.0872932,35.4932995
대잠약국,81,약국,370000,경북,370701,포항남구,대잠동,37661,"경상북도 포항시 남구 희망대로 592-9, (대잠동)",054-272-2067,1985-03-25,129.3407320,36.0148633
대장푸른약국,81,약국,310000,경기,310403,성남분당구,대장동,13544,"경기도 성남시 분당구 판교대장로 84, 105호 (대장동)",031-717-0650,2022-02-04,127.0683409,37.3664195
대전가장큰약국,81,약국,250000,대전,250005,대전중구,유천동,34966,"대전광역시 중구 계백로 1608, 1층 (유천동)",042-587-5999,2024-02-28,127.3989117,36.3185252
대전당약국,81,약국,250000,대전,250005,대전중구,대흥동,34941,"대전광역시 중구 보문로 241-1, (대흥동)",042-256-5885,2011-01-04,127.4222429,36.3242159
대전마더스약국,81,약국,250000,대전,250003,대전서구,둔산동,35245,"대전광역시 서구 둔산로 201, 지하1층 (둔산동, 세이브존)",042-070-4406-4338,2011-05-23,127.3964569,36.3551614
대전성심약국,81,약국,250000,대전,250005,대전중구,대흥동,34942,"대전광역시 중구 대흥로66번길 17, (대흥동)",042-242-1839,2021-11-01,127.4209129,36.3231818
대전시민약국,81,약국,250000,대전,250004,대전동구,용전동,34552,"대전광역시 동구 동서대로 1677, 1층 (용전동)",042-282-7575,2020-09-24,127.4358549,36.3492474
대전약국,81,약국,340000,충남,340900,당진시,읍내동,31777,"충청남도 당진시 교동길 151, (읍내동)",041-355-3390,2014-07-01,126.6296830,36.8918867
대전약국,81,약국,250000,대전,250005,대전중구,대사동,34964,"대전광역시 중구 문화로 279, (대사동)",042-242-9494,2016-08-31,127.4153555,36.3181595
대전역약국,81,약국,250000,대전,250004,대전동구,정동,34626,"대전광역시 동구 중앙로 215, 대전역 3층 (정동)",070-8691-0150,2020-07-03,127.4321038,36.3344230
대전온누리약국,81,약국,250000,대전,250003,대전서구,관저동,35379,"대전광역시 서구 관저동로 88, (관저동)",042-543-4119,2004-07-31,127.3410279,36.3000323
대전조이약국,81,약국,250000,대전,250003,대전서구,탄방동,35262,"대전광역시 서구 계룡로553번길 18, 1층 (탄방동)",042-483-2835,2007-02-28,127.3854498,36.3436279
대전종로약국,81,약국,250000,대전,250004,대전동구,홍도동,34553,"대전광역시 동구 동서대로 1629-6, (홍도동)",042-636-8080,2003-01-16,127.4314072,36.3474541
대전중앙약국,81,약국,250000,대전,250005,대전중구,은행동,34832,"대전광역시 중구 중앙로 153, (은행동)",042-252-9422,2019-04-12,127.4264993,36.3291303
대전태평양약국,81,약국,250000,대전,250001,대전유성구,대정동,34219,"대전광역시 유성구 대정로28번안길 83, (대정동)",042-543-5006,2014-12-15,127.3210875,36.3134318
대전하나로 약국,81,약국,250000,대전,250005,대전중구,안영동,35084,"대전광역시 중구 대둔산로199번길 43, 1층 (안영동)",042-719-7878,2015-07-16,127.3784461,36.2885908
대전한약국,81,약국,250000,대전,250004,대전동구,용운동,34519,"대전광역시 동구  대학로 62-10, (용운동)",042-286-4568,2013-04-10,127.4570115,36.3353571
대정송약국,81,약국,390000,제주,390100,서귀포시,대정읍,63508,"제주특별자치도 서귀포시 대정읍 하모상가로 46, 1층 (경원빌딩)",064-794-2802,2016-09-28,126.2537062,33.2216061
대정약국,81,약국,390000,제주,390200,제주시,노형동,63085,"제주특별자치도 제주시 과원북4길 35, (노형동)",064-743-3734,2003-09-23,126.4863595,33.4812549
대정온누리약국,81,약국,390000,제주,390100,서귀포시,대정읍,63507,"제주특별자치도 서귀포시 대정읍 하모중앙로 76, 1층 3호",064-792-7545,2016-07-07,126.2518125,33.2213862
대제일약국,81,약국,110000,서울,110025,금천구,독산동,08546,"서울특별시 금천구 독산로85길 13, (독산동)",02-857-2166,2018-08-16,126.9023974,37.4723148
대조약국,81,약국,110000,서울,110015,은평구,대조동,03394,"서울특별시 은평구 서오릉로 140, 1층 (대조동)",02-357-7582,2019-02-11,126.9176040,37.6113448
대종약국,81,약국,310000,경기,311901,고양덕양구,성사동,10463,"경기도 고양시 덕양구 마상로154번길 16, (성사동)",031-962-6197,1988-09-30,126.8387806,37.6580822
대중약국,81,약국,350000,전북,350300,익산시,어양동,54639,"전북특별자치도 익산시 동서로51길 80, (어양동)",063-833-0889,2019-11-22,126.9787377,35.9583265
대중약국,81,약국,110000,서울,110011,성동구,하왕십리동,04710,"서울특별시 성동구 왕십리로 379, (하왕십리동)",02-2292-4418,2000-08-22,127.0281095,37.5645594
대지경남약국,81,약국,380000,경남,380014,창녕군,대지면,50316,"경상남도 창녕군 대지면 우포2로 984, (대지면)",055-533-3090,2000-09-02,128.4687295,35.5547994
대지약국,81,약국,110000,서울,110024,강북구,미아동,01110,"서울특별시 강북구 삼양로 247, 3층 (미아동)",02-945-8946,2017-11-01,127.0177470,37.6255182
대지약국,81,약국,350000,전북,350401,전주완산구,효자동1가,55048,"전북특별자치도 전주시 완산구 용머리로 189, (효자동1가)",063-222-6909,1974-11-26,127.1306618,35.8072987
대지약국,81,약국,380000,경남,380017,함안군,대산면,52011,"경상남도 함안군 대산면 대산중앙로 204, (대산면)",055-583-8075,2000-07-27,128.4293603,35.3519231
대지약국,81,약국,230000,대구,230004,대구서구,비산동,41713,"대구광역시 서구 서대구로62길 47, (비산동)",053-352-0660,2004-06-28,128.5618081,35.8860442
대지약국,81,약국,210000,부산,210010,부산사하구,감천동,49369,"부산광역시 사하구 옥천로 37, (감천동)",051-203-9764,1984-01-30,129.0065099,35.0908178
대지약국,81,약국,210000,부산,210001,부산남구,용호동,48587,"부산광역시 남구 용호로 189-2, (용호동)",622-8700,2004-06-14,129.1112128,35.1153152
대지온누리약국,81,약국,210000,부산,210003,부산동래구,명장동,47761,"부산광역시 동래구 명서로 154, (명장동)",051-528-6271,1991-05-17,129.1024538,35.2092621
대진약국,81,약국,360000,전남,360300,목포시,용해동,58647,"전라남도 목포시 용당로 281, 종원빌딩 (용해동)",061-273-1717,2022-09-01,126.3990788,34.8123212
대진약국,81,약국,340000,충남,340202,천안동남구,봉명동,31151,"충청남도 천안시 동남구 봉정로 47, 에이스빌딩 1층 (봉명동)",041-573-5744,2009-11-18,127.1396410,36.8064762
대진약국,81,약국,370000,경북,370021,의성군,다인면,37303,"경상북도 의성군 다인면 서릉길 61, (다인면)",054-861-4114,1972-05-03,128.3558003,36.4488354
대진약국,81,약국,380000,경남,380701,창원마산회원구,회성동,51311,"경상남도 창원시 마산회원구 북성로 309, (회성동)",055-256-6353,2003-01-02,128.5637003,35.2327266
대진약국,81,약국,230000,대구,230001,대구남구,대명동,42471,"대구광역시 남구 두류공원로17길 38, (대명동)",053-623-1993,2007-06-11,128.5683864,35.8444149
대진약국,81,약국,380000,경남,380100,김해시,삼정동,50934,"경상남도 김해시 활천로36번길 26, (삼정동)",055-322-6029,1995-04-06,128.8959581,35.2319460
대창약국,81,약국,360000,전남,360012,신안군,안좌면,58839,"전라남도 신안군 안좌면 중부로 852, (안좌면)",061-262-1118,2008-04-29,126.1253444,34.7544792
